SERIAL NO,SUBJECT,CHAPTER NAME,CLASS TEACHER,YEAR,MODE,FACULTY1,FACULTY2,BATCH,EXAM DATE,ALLOTED HOURS,COMPLETED HOURS,REMAINING HOURS NEEDED,CHAPTER STATUS,AVERAGE MARK OF BATCH,NUMBER OF A+,REMARKS1,REMARKS2,REMARKS3,FLAG1,FLAG2,FLAG3
33,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,ANANDALAKSHMI,2026,OFFLINE,CAS,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
34,CHEMISTRY,Chemical Kinetics,ANANDALAKSHMI,2026,OFFLINE,BDL,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
35,CHEMISTRY,Chemical Kinetics,ANANDALAKSHMI,2026,OFFLINE,BDL,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
36,MATHS,Circles,ANANDALAKSHMI,2026,OFFLINE,PDD,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
37,MATHS,Circles,ANANDALAKSHMI,2026,OFFLINE,PDD,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
38,MATHS,Circles,ANANDALAKSHMI,2026,OFFLINE,PDD,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
39,CHEMISTRY,Classification of Elements and Periodicity Periodicity in Properties,ANANDALAKSHMI,2026,OFFLINE,ZDI,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
40,CHEMISTRY,Classification of Elements and Periodicity Periodicity in Properties,ANANDALAKSHMI,2026,OFFLINE,ZDI,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
41,MATHS,Conic Section,ANANDALAKSHMI,2026,OFFLINE,BBT,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
42,MATHS,Conic Section,ANANDALAKSHMI,2026,OFFLINE,BBT,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
43,MATHS,"Continuity, Differentiability and Derivatives",ANANDALAKSHMI,2026,OFFLINE,BCG,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
44,MATHS,"Continuity, Differentiability and Derivatives",ANANDALAKSHMI,2026,OFFLINE,BCG,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
45,MATHS,"Continuity, Differentiability and Derivatives",ANANDALAKSHMI,2026,OFFLINE,BCG,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
46,CHEMISTRY,Coordination Compounds and Organometallics,ANANDALAKSHMI,2026,OFFLINE,MDL,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
47,CHEMISTRY,Coordination Compounds and Organometallics,ANANDALAKSHMI,2026,OFFLINE,MDL,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
48,CHEMISTRY,Coordination Compounds and Organometallics,ANANDALAKSHMI,2026,OFFLINE,MDL,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
49,MATHS,Differential Equations,ANANDALAKSHMI,2026,OFFLINE,ZCU,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
50,MATHS,Differential Equations,ANANDALAKSHMI,2026,OFFLINE,ZCU,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
51,MATHS,Differential Equations,ANANDALAKSHMI,2026,OFFLINE,ZCU,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
52,PHYSICS,Dual Nature of Matter and Radiation,ANANDALAKSHMI,2026,OFFLINE,ZDQ,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
53,PHYSICS,Dual Nature of Matter and Radiation,ANANDALAKSHMI,2026,OFFLINE,ZDQ,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
54,PHYSICS,Dual Nature of Matter and Radiation,ANANDALAKSHMI,2026,OFFLINE,ZDQ,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
55,CHEMISTRY,Electrochemistry,ANANDALAKSHMI,2026,OFFLINE,CAX,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
56,CHEMISTRY,Electrochemistry,ANANDALAKSHMI,2026,OFFLINE,CAX,,BATCH1,23-02-2025,24,18,6,COMPLETED,,,,,,,,
57,CHEMISTRY,Electrochemistry,ANANDALAKSHMI,2026,OFFLINE,CAX,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
58,PHYSICS,Electromagnetic Waves,ANANDALAKSHMI,2026,OFFLINE,BDD,,BATCH1,23-02-2025,5,5,0,COMPLETED,,,,,,,,
59,PHYSICS,Electromagnetic Waves,ANANDALAKSHMI,2026,OFFLINE,BDD,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
60,PHYSICS,Electromagnetic Waves,ANANDALAKSHMI,2026,OFFLINE,BDD,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
61,PHYSICS,Electrostatics,ANANDALAKSHMI,2026,OFFLINE,BCP,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
62,PHYSICS,Electrostatics,ANANDALAKSHMI,2026,OFFLINE,BCP,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
63,ZOOLOGY,Evolution,ANANDALAKSHMI,2026,OFFLINE,MBA,,BATCH1,23-02-2025,24,18,6,COMPLETED,,,,,,,,
64,ZOOLOGY,Evolution,ANANDALAKSHMI,2026,OFFLINE,MBA,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
65,CHEMISTRY,Halo Alkanes and Halo Arenes  Arenes,ANANDALAKSHMI,2026,OFFLINE,ZDZ,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
66,CHEMISTRY,Halo Alkanes and Halo Arenes  Arenes,ANANDALAKSHMI,2026,OFFLINE,ZDZ,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
67,ZOOLOGY,Human Health and Disease,ANANDALAKSHMI,2026,OFFLINE,PAX,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
68,ZOOLOGY,Human Health and Disease,ANANDALAKSHMI,2026,OFFLINE,PAX,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
69,ZOOLOGY,Human Reproduction,ANANDALAKSHMI,2026,OFFLINE,ZBY,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
70,ZOOLOGY,Human Reproduction,ANANDALAKSHMI,2026,OFFLINE,ZBY,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
71,ZOOLOGY,Human Reproduction,ANANDALAKSHMI,2026,OFFLINE,ZBY,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
72,CHEMISTRY,Hydrocarbons,ANANDALAKSHMI,2026,OFFLINE,MCY,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
73,CHEMISTRY,Hydrocarbons,ANANDALAKSHMI,2026,OFFLINE,MCY,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
74,MATHS,Linear Inequations and Inequalities,ANANDALAKSHMI,2026,OFFLINE,ZCC,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
75,MATHS,Linear Inequations and Inequalities,ANANDALAKSHMI,2026,OFFLINE,ZCC,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
76,MATHS,Linear Programming,ANANDALAKSHMI,2026,OFFLINE,MBX,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
77,MATHS,Linear Programming,ANANDALAKSHMI,2026,OFFLINE,MBX,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
78,ZOOLOGY,Locomotion and Movement,ANANDALAKSHMI,2026,OFFLINE,BBK,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
79,ZOOLOGY,Locomotion and Movement,ANANDALAKSHMI,2026,OFFLINE,BBK,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
80,ZOOLOGY,Locomotion and Movement,ANANDALAKSHMI,2026,OFFLINE,BBK,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
81,MATHS,Logarithm,ANANDALAKSHMI,2026,OFFLINE,ZCL,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
82,MATHS,Logarithm,ANANDALAKSHMI,2026,OFFLINE,ZCL,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
83,PHYSICS,Magnetism and Matter,ANANDALAKSHMI,2026,OFFLINE,ZDD,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
84,PHYSICS,Magnetism and Matter,ANANDALAKSHMI,2026,OFFLINE,ZDD,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
85,MATHS,Matrices and Determinants,ANANDALAKSHMI,2026,OFFLINE,ZCH,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
86,MATHS,Matrices and Determinants,ANANDALAKSHMI,2026,OFFLINE,ZCH,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
87,PHYSICS,Mechanical Properties of Solids & Fluids,ANANDALAKSHMI,2026,OFFLINE,CDN,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
88,PHYSICS,Mechanical Properties of Solids & Fluids,ANANDALAKSHMI,2026,OFFLINE,CDN,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
89,ZOOLOGY,Molecular Basis of Inheritance,ANANDALAKSHMI,2026,OFFLINE,CCM,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
90,ZOOLOGY,Molecular Basis of Inheritance,ANANDALAKSHMI,2026,OFFLINE,CCM,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
91,ZOOLOGY,Molecular Basis of Inheritance,ANANDALAKSHMI,2026,OFFLINE,CCM,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
92,BOTANY,Morphology of Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,MDP,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
93,BOTANY,Morphology of Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,MDP,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
94,PHYSICS,Motion in a Plane,ANANDALAKSHMI,2026,OFFLINE,CCZ,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
95,PHYSICS,Motion in a Plane,ANANDALAKSHMI,2026,OFFLINE,CCZ,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
96,PHYSICS,Motion in a Straight Line,ANANDALAKSHMI,2026,OFFLINE,BCL,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
97,PHYSICS,Motion in a Straight Line,ANANDALAKSHMI,2026,OFFLINE,BCL,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
98,PHYSICS,Moving Charges and Magnetism,ANANDALAKSHMI,2026,OFFLINE,MCP,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
99,PHYSICS,Moving Charges and Magnetism,ANANDALAKSHMI,2026,OFFLINE,MCP,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
100,PHYSICS,Moving Charges and Magnetism,ANANDALAKSHMI,2026,OFFLINE,MCP,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
101,ZOOLOGY,Neural Control and Coordination,ANANDALAKSHMI,2026,OFFLINE,CBY,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
102,ZOOLOGY,Neural Control and Coordination,ANANDALAKSHMI,2026,OFFLINE,CBY,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
103,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part I I (Nomenclature),ANANDALAKSHMI,2026,OFFLINE,CAJ,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
104,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part I I (Nomenclature),ANANDALAKSHMI,2026,OFFLINE,CAJ,,BATCH1,23-02-2025,24,18,6,COMPLETED,,,,,,,,
105,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part III III (Purification),ANANDALAKSHMI,2026,OFFLINE,ZAJ,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
106,CHEMISTRY,Organic Chemistry–Some Basic Principles–Part III III (Purification),ANANDALAKSHMI,2026,OFFLINE,ZAJ,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
107,BOTANY,Organism and Population,ANANDALAKSHMI,2026,OFFLINE,MDU,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
108,BOTANY,Organism and Population,ANANDALAKSHMI,2026,OFFLINE,MDU,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
109,MATHS,"Permutation, Combination and Binomial Theorem",ANANDALAKSHMI,2026,OFFLINE,CCQ,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
110,MATHS,"Permutation, Combination and Binomial Theorem",ANANDALAKSHMI,2026,OFFLINE,CCQ,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
111,MATHS,"Permutation, Combination and Binomial Theorem",ANANDALAKSHMI,2026,OFFLINE,CCQ,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
112,BOTANY,Photosynthesis in Higher Plants,ANANDALAKSHMI,2026,OFFLINE,ZAS,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
113,BOTANY,Photosynthesis in Higher Plants,ANANDALAKSHMI,2026,OFFLINE,ZAS,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
114,PHYSICS,"Physical World, Units and Measurements",ANANDALAKSHMI,2026,OFFLINE,PDV,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
115,PHYSICS,"Physical World, Units and Measurements",ANANDALAKSHMI,2026,OFFLINE,PDV,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
116,PHYSICS,"Physical World, Units and Measurements",ANANDALAKSHMI,2026,OFFLINE,PDV,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
117,BOTANY,Plant Growth and Development,ANANDALAKSHMI,2026,OFFLINE,BAR,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
118,BOTANY,Plant Growth and Development,ANANDALAKSHMI,2026,OFFLINE,BAR,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
119,BOTANY,Plant Kingdom,ANANDALAKSHMI,2026,OFFLINE,ZBB,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
120,BOTANY,Plant Kingdom,ANANDALAKSHMI,2026,OFFLINE,ZBB,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
121,BOTANY,Plant Kingdom,ANANDALAKSHMI,2026,OFFLINE,ZBB,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
122,CHEMISTRY,Practical Chemistry,ANANDALAKSHMI,2026,OFFLINE,CBB,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
123,CHEMISTRY,Practical Chemistry,ANANDALAKSHMI,2026,OFFLINE,CBB,,BATCH1,23-02-2025,26,19,7,COMPLETED,,,,,,,,
124,ZOOLOGY,Principles of Inheritance and Variation,ANANDALAKSHMI,2026,OFFLINE,PBG,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
125,ZOOLOGY,Principles of Inheritance and Variation,ANANDALAKSHMI,2026,OFFLINE,PBG,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
126,MATHS,Quadratic Equation,ANANDALAKSHMI,2026,OFFLINE,PCQ,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
127,MATHS,Quadratic Equation,ANANDALAKSHMI,2026,OFFLINE,PCQ,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
128,PHYSICS,Ray Optics & Optical Instruments,ANANDALAKSHMI,2026,OFFLINE,PAA,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
129,PHYSICS,Ray Optics & Optical Instruments,ANANDALAKSHMI,2026,OFFLINE,PAA,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
130,CHEMISTRY,Redox Reaction,ANANDALAKSHMI,2026,OFFLINE,BDI,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
131,CHEMISTRY,Redox Reaction,ANANDALAKSHMI,2026,OFFLINE,BDI,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
132,ZOOLOGY,Reproductive Health,ANANDALAKSHMI,2026,OFFLINE,PCL,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
133,ZOOLOGY,Reproductive Health,ANANDALAKSHMI,2026,OFFLINE,PCL,,BATCH1,23-02-2025,5,5,0,COMPLETED,,,,,,,,
134,PHYSICS,Semiconductor Electronics,ANANDALAKSHMI,2026,OFFLINE,BCU,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
135,PHYSICS,Semiconductor Electronics,ANANDALAKSHMI,2026,OFFLINE,BCU,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
136,MATHS,Sequences and Series,ANANDALAKSHMI,2026,OFFLINE,MBF,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
137,MATHS,Sequences and Series,ANANDALAKSHMI,2026,OFFLINE,MBF,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
138,MATHS,"Sets, Relations and  Functions",ANANDALAKSHMI,2026,OFFLINE,PAO,,BATCH1,23-02-2025,31,21,10,COMPLETED,,,,,,,,
139,MATHS,"Sets, Relations and  Functions",ANANDALAKSHMI,2026,OFFLINE,PAO,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
140,BOTANY,Sexual reproduction in Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,CBG,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
141,BOTANY,Sexual reproduction in Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,CBG,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
142,CHEMISTRY,Some Basic Concepts of Chemistry,ANANDALAKSHMI,2026,OFFLINE,ZAE,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
143,CHEMISTRY,Some Basic Concepts of Chemistry,ANANDALAKSHMI,2026,OFFLINE,ZAE,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
144,CHEMISTRY,Some Basic Concepts of Chemistry,ANANDALAKSHMI,2026,OFFLINE,ZAE,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
145,ZOOLOGY,Structural organisation in Animals Animal Tissue,ANANDALAKSHMI,2026,OFFLINE,PAE,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
146,ZOOLOGY,Structural organisation in Animals Animal Tissue,ANANDALAKSHMI,2026,OFFLINE,PAE,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
147,ZOOLOGY,Structural organisation in Animals Animal Tissue,ANANDALAKSHMI,2026,OFFLINE,PAE,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
148,ZOOLOGY,Structural organisation in Animals Morphology of Animals,ANANDALAKSHMI,2026,OFFLINE,BAW,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
149,ZOOLOGY,Structural organisation in Animals Morphology of Animals,ANANDALAKSHMI,2026,OFFLINE,BAW,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
150,CHEMISTRY,Structure of Atoms,ANANDALAKSHMI,2026,OFFLINE,MCU,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
151,CHEMISTRY,Structure of Atoms,ANANDALAKSHMI,2026,OFFLINE,MCU,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
152,PHYSICS,System of Particles and Rigid Body Rotation,ANANDALAKSHMI,2026,OFFLINE,PDM,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
153,PHYSICS,System of Particles and Rigid Body Rotation,ANANDALAKSHMI,2026,OFFLINE,PDM,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
154,ZOOLOGY,The Living World,ANANDALAKSHMI,2026,OFFLINE,CBT,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
155,ZOOLOGY,The Living World,ANANDALAKSHMI,2026,OFFLINE,CBT,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
156,ZOOLOGY,The Living World,ANANDALAKSHMI,2026,OFFLINE,CBT,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
157,CHEMISTRY,The p Block Elements (XI) (XI) & (XII),ANANDALAKSHMI,2026,OFFLINE,ZDV,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
158,CHEMISTRY,The p Block Elements (XI) (XI) & (XII),ANANDALAKSHMI,2026,OFFLINE,ZDV,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
159,MATHS,Theory of Probability,ANANDALAKSHMI,2026,OFFLINE,CDI,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
160,MATHS,Theory of Probability,ANANDALAKSHMI,2026,OFFLINE,CDI,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
161,MATHS,Theory of Probability,ANANDALAKSHMI,2026,OFFLINE,CDI,,BATCH1,23-02-2025,19,15,4,COMPLETED,,,,,,,,
162,PHYSICS,"Thermal Properties of Matter, Thermodynamics and Kinetic Theory",ANANDALAKSHMI,2026,OFFLINE,MCB,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
163,PHYSICS,"Thermal Properties of Matter, Thermodynamics and Kinetic Theory",ANANDALAKSHMI,2026,OFFLINE,MCB,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
